value	lower	upper	time
140763	48237.3	845112	255511.022044088
140606	48237.3	828449	256513.026052104
140419	48237.3	813451	257515.03006012
140319	48237.3	797148	258517.034068136
140106	48237.3	790372	259519.038076152
139875	48227.2	779459	260521.042084168
139608	48226.1	761260	261523.046092184
139273	48226.1	743685	262525.0501002
139195	48226.1	734718	263527.054108216
139061	48226.1	719331	264529.058116232
138950	48202.5	709590	265531.062124249
138852	48202.5	697634	266533.066132265
138739	48202.5	682654	267535.070140281
138636	48202.5	677037	268537.074148297
138459	48202.5	667251	269539.078156313
138381	48202.5	659556	270541.082164329
138202	48202.5	645943	271543.086172345
138125	48202.5	630909	272545.090180361
138052	48202.5	622032	273547.094188377
137935	48202.5	612226	274549.098196393
137898	48202.5	602919	275551.102204409
137797	48196.2	591545	276553.106212425
137694	48196.2	581508	277555.110220441
137609	48196.2	571357	278557.114228457
137483	48196.2	566469	279559.118236473
137426	48196.2	564154	280561.122244489
137383	48196.2	559519	281563.126252505
137376	48196.2	557386	282565.130260521
137343	48196.2	554386	283567.134268537
137336	48196.2	552031	284569.138276553
137272	48196.2	548247	285571.142284569
137199	48196.2	541088	286573.146292585
137118	48196.2	537477	287575.150300601
137110	48196.2	534904	288577.154308617
137097	48196.2	534343	289579.158316633
137097	48196.2	530685	290581.162324649
137058	48196.2	528305	291583.166332665
136988	48196.2	522923	292585.170340681
136970	48196.2	520180	293587.174348697
136964	48196.2	518703	294589.178356713
136925	48196.2	517628	295591.182364729
136902	48196.2	515301	296593.186372745
136902	48196.2	514529	297595.190380762
136892	48196.2	513611	298597.194388778
136873	48196.2	512237	299599.198396794
136873	48196.2	511841	300601.20240481
136873	48196.2	511166	301603.206412826
136868	48196.2	510932	302605.210420842
136855	48196.2	510375	303607.214428858
136847	48196.2	510141	304609.218436874
136821	48196.2	508391	305611.22244489
136768	48196.2	508262	306613.226452906
136751	48196.2	507222	307615.230460922
136747	48140.1	506835	308617.234468938
136734	48140.1	506666	309619.238476954
136734	48140.1	506666	310621.24248497
136734	48140.1	506666	311623.246492986
136734	48140.1	506256	312625.250501002
136734	48140.1	506205	313627.254509018
136734	48140.1	506138	314629.258517034
136734	48140.1	505800	315631.26252505
136732	48140.1	504690	316633.266533066
136732	48140.1	504690	317635.270541082
136732	48140.1	504690	318637.274549098
136732	48140.1	504690	319639.278557114
136732	48140.1	504690	320641.28256513
136690	48140.1	504010	321643.286573146
136690	48140.1	504010	322645.290581162
136690	48140.1	504010	323647.294589178
136682	48140.1	503204	324649.298597194
136682	48140.1	503013	325651.30260521
136675	48140.1	502511	326653.306613226
136675	48140.1	502511	327655.310621243
136675	48140.1	502511	328657.314629259
136675	48140.1	502511	329659.318637275
136675	48140.1	502511	330661.322645291
136675	48140.1	502511	331663.326653307
136675	48140.1	502511	332665.330661323
136675	48140.1	502511	333667.334669339
136675	48140.1	502511	334669.338677355
136675	48140.1	502511	335671.342685371
136675	48140.1	502511	336673.346693387
136675	48140.1	502511	337675.350701403
136675	48140.1	502511	338677.354709419
136675	48140.1	502330	339679.358717435
136675	48140.1	502330	340681.362725451
