value	lower	upper	time
482882	34670.5	964192	452905.811623247
482882	34670.5	964192	453907.815631263
482882	34670.5	964192	454909.819639279
482882	34670.5	964192	455911.823647295
482882	34670.5	964192	456913.827655311
482882	34670.5	964192	457915.831663327
482882	34670.5	964192	458917.835671343
482882	34670.5	964192	459919.839679359
482882	33184.3	976984	460921.843687375
482882	33184.3	976984	461923.847695391
482882	33184.3	976984	462925.851703407
482882	33184.3	976984	463927.855711423
482882	33184.3	976984	464929.859719439
482882	33184.3	976984	465931.863727455
482882	33184.3	976984	466933.867735471
482882	33184.3	976984	467935.871743487
482882	33184.3	976984	468937.875751503
482882	33184.3	976984	469939.879759519
484065	31574.4	990479	470941.883767535
484065	31574.4	990479	471943.887775551
484065	31574.4	990479	472945.891783567
484065	31574.4	990479	473947.895791583
484065	31574.4	990479	474949.899799599
484065	31574.4	990479	475951.903807615
484065	31574.4	990479	476953.907815631
484065	31574.4	990479	477955.911823647
484065	31574.4	990479	478957.915831663
484065	31574.4	990479	479959.919839679
485203	30851.7	1001060	480961.923847695
485203	30851.7	1001060	481963.927855711
485203	30851.7	1001060	482965.931863727
485203	30851.7	1001060	483967.935871744
485203	30851.7	1001060	484969.93987976
485203	30851.7	1001060	485971.943887776
485203	30851.7	1001060	486973.947895792
485203	30851.7	1001060	487975.951903808
485203	30851.7	1001060	488977.955911824
485203	30851.7	1001060	489979.95991984
486025	31218.9	1006960	490981.963927856
486025	31218.9	1006960	491983.967935872
486025	31218.9	1006960	492985.971943888
486025	31218.9	1006960	493987.975951904
486025	31218.9	1006960	494989.97995992
486025	31218.9	1006960	495991.983967936
486025	31218.9	1006960	496993.987975952
486025	31218.9	1006960	497995.991983968
486025	31218.9	1006960	498997.995991984
486025	31218.9	1006960	5e+05
